y_true,y_pred,prob_no_stroke,prob_stroke
1,0,0.7296990905511224,0.27030090944887764
1,0,0.6709077286143041,0.32909227138569586
1,1,0.05520280399621613,0.9447971960037839
1,1,0.1991894992757116,0.8008105007242884
1,0,0.5957834342796653,0.40421656572033465
1,0,0.9837323201266556,0.016267679873344452
1,1,0.23439435108240436,0.7656056489175956
1,0,0.6035669909268973,0.39643300907310275
1,0,0.9559630953291568,0.04403690467084319
1,0,0.9969685826007476,0.003031417399252406
1,0,0.9735285648355596,0.02647143516444042
1,1,0.12403995345101415,0.8759600465489858
1,0,0.970488493063834,0.029511506936165974
1,1,0.3305166420417368,0.6694833579582632
1,1,0.45148535318586636,0.5485146468141336
1,1,0.0009781955251054741,0.9990218044748945
1,1,0.2703590445561197,0.7296409554438803
1,1,0.02051003194967249,0.9794899680503275
1,1,0.202270824716131,0.797729175283869
1,1,0.14787665165884656,0.8521233483411534
1,0,0.9999195800670182,8.041993298182417e-05
1,1,0.019075977260359922,0.9809240227396401
1,0,0.9978747140209483,0.002125285979051747
1,1,0.2195707217940276,0.7804292782059724
1,1,0.3583223545525406,0.6416776454474594
1,1,0.2064951765452787,0.7935048234547213
1,1,0.11481972231178528,0.8851802776882147
1,0,0.9658783482597011,0.0341216517402989
1,1,0.14063591080442162,0.8593640891955784
1,1,0.3414690428421734,0.6585309571578266
1,1,0.2822393903909014,0.7177606096090986
1,1,0.4737797472468578,0.5262202527531422
1,1,0.3294951311512455,0.6705048688487545
1,1,0.03948722733737875,0.9605127726626213
1,0,0.7132326245956248,0.28676737540437525
1,1,0.13203422718071978,0.8679657728192802
1,1,0.00036158514193584956,0.9996384148580642
1,1,0.052240574086046654,0.9477594259139533
1,1,7.887509237436419e-05,0.9999211249076256
1,0,0.822318050555975,0.17768194944402502
1,1,0.1092161004428549,0.8907838995571451
1,1,0.38826796585876155,0.6117320341412384
1,0,0.9998584887979729,0.0001415112020271482
1,0,0.818466339082804,0.18153366091719608
0,0,0.9999956528077464,4.347192253590673e-06
0,1,0.1699907542576664,0.8300092457423336
0,1,0.18963846408543472,0.8103615359145653
0,0,0.9999103423582109,8.965764178915185e-05
0,0,0.7857392053914962,0.21426079460850372
0,0,0.7202038011885084,0.27979619881149165
0,0,0.7265697290664193,0.2734302709335807
0,0,0.5532924774600494,0.44670752253995055
